"geno","male","female","pool"
"UGP202000232-2","Raihna","ARA209","B"
"UGP202000238-4","Raihna","Resisto","B"
"UGP202000236-21","Raihna","MSK1094","B"
"UGP202000232-5","Raihna","ARA209","B"
"UGP202000234-3","Raihna","MLE179","B"
"UGP202000250-4","Raihna","CIP199062.1","B"
"UGP202000250-2","Raihna","CIP199062.1","B"
"UGP202000232-1","Raihna","ARA209","B"
"UGP202000237-14","Raihna","Jewel","B"
"UGP202000232-3","Raihna","ARA209","B"
"UGP202000232-4","Raihna","ARA209","B"
"UGP202000234-11","Raihna","MLE179","B"
"UGP202000232-12","Raihna","ARA209","B"
"UGP202000238-5","Raihna","Resisto","B"
"UGP202000250-13","Raihna","CIP199062.1","B"
"UGP202000235-8","Raihna","SPK004_CIP","B"
"UGP202000250-6","Raihna","CIP199062.1","B"
"UGP202000238-6","Raihna","Resisto","B"
"UGP202000250-9","Raihna","CIP199062.1","B"
"UGP202000234-13","Raihna","MLE179","B"
"UGP202000233-12","Raihna","LUW1257","B"
"UGP202000238-7","Raihna","Resisto","B"
"UGP202000237-4","Raihna","Jewel","B"
"UGP202000235-3","Raihna","SPK004_CIP","B"
"UGP202000233-2","Raihna","LUW1257","B"
"UGP202000235-10","Raihna","SPK004_CIP","B"
"UGP202000232-11","Raihna","ARA209","B"
"UGP202000233-18","Raihna","LUW1257","B"
"UGP202000233-13","Raihna","LUW1257","B"
"UGP202000233-15","Raihna","LUW1257","B"
"UGP202000147-17","KML942","MLE179","B"
"UGP202000146-4","KML942","LUW1257","B"
"UGP202000147-5","KML942","MLE179","B"
"UGP202000146-7","KML942","LUW1257","B"
"UGP202000146-3","KML942","LUW1257","B"
"UGP202000148-8","KML942","MSK1094","B"
"UGP202000147-12","KML942","MLE179","B"
"UGP202000146-19","KML942","LUW1257","B"
"UGP202000146-14","KML942","LUW1257","B"
"UGP202000147-15","KML942","MLE179","B"
"UGP202000146-8","KML942","LUW1257","B"
"UGP202000147-6","KML942","MLE179","B"
"UGP202000148-11","KML942","MSK1094","B"
"UGP202000146-16","KML942","LUW1257","B"
"UGP202000148-3","KML942","MSK1094","B"
"UGP202000147-16","KML942","MLE179","B"
"UGP202000147-8","KML942","MLE179","B"
"UGP202000146-18","KML942","LUW1257","B"
"UGP202000147-19","KML942","MLE179","B"
"UGP202000147-4","KML942","MLE179","B"
"UGP202000146-11","KML942","LUW1257","B"
"UGP202000146-10","KML942","LUW1257","B"
"UGP202000148-9","KML942","MSK1094","B"
"UGP202000146-1","KML942","LUW1257","B"
"UGP202000148-2","KML942","MSK1094","B"
"UGP202000151-8","LUW1257","Sowola","B"
"UGP202000150-9","LUW1257","MBR536","B"
"UGP202000245-14","LUW1257","CIP199062.1","B"
"UGP202000245-9","LUW1257","CIP199062.1","B"
"UGP202000244-7","LUW1257","MSK1094","B"
"UGP202000266-5","LUW1257","SRT43","B"
"UGP202000149-12","LUW1257","KML942","B"
"UGP202000150-8","LUW1257","MBR536","B"
"UGP202000267-4","LUW1257","RAK848","B"
"UGP202000155-8","LUW1257","Resisto","B"
"UGP202000153-20","LUW1257","MKN1210","B"
"UGP202000153-12","LUW1257","MKN1210","B"
"UGP202000150-10","LUW1257","MBR536","B"
"UGP202000245-10","LUW1257","CIP199062.1","B"
"UGP202000155-9","LUW1257","Resisto","B"
"UGP202000150-11","LUW1257","MBR536","B"
"UGP202000243-5","LUW1257","KRE691","B"
"UGP202000155-1","LUW1257","Resisto","B"
"UGP202000155-7","LUW1257","Resisto","B"
"UGP202000153-18","LUW1257","MKN1210","B"
"UGP202000245-12","LUW1257","CIP199062.1","B"
"UGP202000245-8","LUW1257","CIP199062.1","B"
"UGP202000244-11","LUW1257","MSK1094","B"
"UGP202000155-10","LUW1257","Resisto","B"
"UGP202000243-9","LUW1257","KRE691","B"
"UGP202000157-13","KRE691","MSK1094","B"
"UGP202000156-9","KRE691","SPK004_CIP","B"
"UGP202000156-6","KRE691","SPK004_CIP","B"
"UGP202000156-7","KRE691","SPK004_CIP","B"
"UGP202000157-10","KRE691","MSK1094","B"
"UGP202000157-2","KRE691","MSK1094","B"
"UGP202000157-21","KRE691","MSK1094","B"
"UGP202000156-13","KRE691","SPK004_CIP","B"
"UGP202000156-12","KRE691","SPK004_CIP","B"
"UGP202000156-5","KRE691","SPK004_CIP","B"
"UGP202000157-11","KRE691","MSK1094","B"
"UGP202000157-20","KRE691","MSK1094","B"
"UGP202000156-8","KRE691","SPK004_CIP","B"
"UGP202000157-18","KRE691","MSK1094","B"
"UGP202000156-10","KRE691","SPK004_CIP","B"
"UGP202000157-1","KRE691","MSK1094","B"
"UGP202000157-19","KRE691","MSK1094","B"
"UGP202000156-11","KRE691","SPK004_CIP","B"
"UGP202000156-2","KRE691","SPK004_CIP","B"
"UGP202000156-4","KRE691","SPK004_CIP","B"
"UGP202000157-6","KRE691","MSK1094","B"
"UGP202000157-12","KRE691","MSK1094","B"
"UGP202000157-8","KRE691","MSK1094","B"
"UGP202000156-1","KRE691","SPK004_CIP","B"
"UGP202000157-4","KRE691","MSK1094","B"
"UGP202000159-11","MBR536","Resisto","B"
"UGP202000158-10","MBR536","MSK1094","B"
"UGP202000158-21","MBR536","MSK1094","B"
"UGP202000158-6","MBR536","MSK1094","B"
"UGP202000159-2","MBR536","Resisto","B"
"UGP202000158-12","MBR536","MSK1094","B"
"UGP202000159-20","MBR536","Resisto","B"
"UGP202000158-8","MBR536","MSK1094","B"
"UGP202000159-5","MBR536","Resisto","B"
"UGP202000159-12","MBR536","Resisto","B"
"UGP202000158-18","MBR536","MSK1094","B"
"UGP202000159-4","MBR536","Resisto","B"
"UGP202000158-5","MBR536","MSK1094","B"
"UGP202000159-9","MBR536","Resisto","B"
"UGP202000159-13","MBR536","Resisto","B"
"UGP202000158-2","MBR536","MSK1094","B"
"UGP202000158-9","MBR536","MSK1094","B"
"UGP202000159-16","MBR536","Resisto","B"
"UGP202000159-7","MBR536","Resisto","B"
"UGP202000158-7","MBR536","MSK1094","B"
"UGP202000159-21","MBR536","Resisto","B"
"UGP202000158-17","MBR536","MSK1094","B"
"UGP202000159-15","MBR536","Resisto","B"
"UGP202000158-14","MBR536","MSK1094","B"
"UGP202000159-19","MBR536","Resisto","B"
"UGP202000158-16","MBR536","MSK1094","B"
"UGP202000166-11","MLE179","APA356","B"
"UGP202000160-10","MLE179","SRT43","B"
"UGP202000161-16","MLE179","MLE199","B"
"UGP202000171-1","MLE179","Resisto","B"
"UGP202000172-21","MLE179","CIP199062.1","B"
"UGP202000170-21","MLE179","Jewel","B"
"UGP202000171-18","MLE179","Resisto","B"
"UGP202000171-10","MLE179","Resisto","B"
"UGP202000172-5","MLE179","CIP199062.1","B"
"UGP202000169-16","MLE179","MSK1094","B"
"UGP202000171-9","MLE179","Resisto","B"
"UGP202000171-17","MLE179","Resisto","B"
"UGP202000160-19","MLE179","SRT43","B"
"UGP202000170-5","MLE179","Jewel","B"
"UGP202000166-17","MLE179","APA356","B"
"UGP202000167-1","MLE179","MKN1210","B"
"UGP202000172-14","MLE179","CIP199062.1","B"
"UGP202000164-13","MLE179","MBR536","B"
"UGP202000160-9","MLE179","SRT43","B"
"UGP202000170-17","MLE179","Jewel","B"
"UGP202000170-1","MLE179","Jewel","B"
"UGP202000169-1","MLE179","MSK1094","B"
"UGP202000167-4","MLE179","MKN1210","B"
"UGP202000172-4","MLE179","CIP199062.1","B"
"UGP202000170-2","MLE179","Jewel","B"
"UGP202000133-11","ARA209","MKN1210","B"
"UGP202000129-11","ARA209","KRE691","B"
"UGP202000133-21","ARA209","MKN1210","B"
"UGP202000136-11","ARA209","NASPOT_11","B"
"UGP202000129-15","ARA209","KRE691","B"
"UGP202000128-16","ARA209","KML942","B"
"UGP202000130-8","ARA209","MBR536","B"
"UGP202000137-16","ARA209","CIP199062.1","B"
"UGP202000133-8","ARA209","MKN1210","B"
"UGP202000132-8","ARA209","APA356","B"
"UGP202000136-1","ARA209","NASPOT_11","B"
"UGP202000126-18","ARA209","SRT43","B"
"UGP202000241-13","ARA209","Resisto","B"
"UGP202000131-9","ARA209","Sowola","B"
"UGP202000137-1","ARA209","CIP199062.1","B"
"UGP202000241-9","ARA209","Resisto","B"
"UGP202000128-9","ARA209","KML942","B"
"UGP202000241-1","ARA209","Resisto","B"
"UGP202000132-3","ARA209","APA356","B"
"UGP202000137-9","ARA209","CIP199062.1","B"
"UGP202000241-12","ARA209","Resisto","B"
"UGP202000137-3","ARA209","CIP199062.1","B"
"UGP202000136-16","ARA209","NASPOT_11","B"
"UGP202000241-8","ARA209","Resisto","B"
"UGP202000126-21","ARA209","SRT43","B"
"UGP202000173-18","Sowola","ARA209","B"
"UGP202000176-7","Sowola","Jewel","B"
"UGP202000175-12","Sowola","MSK1094","B"
"UGP202000173-20","Sowola","ARA209","B"
"UGP202000175-8","Sowola","MSK1094","B"
"UGP202000176-10","Sowola","Jewel","B"
"UGP202000175-5","Sowola","MSK1094","B"
"UGP202000177-7","Sowola","Resisto","B"
"UGP202000177-3","Sowola","Resisto","B"
"UGP202000174-12","Sowola","LUW1257","B"
"UGP202000174-11","Sowola","LUW1257","B"
"UGP202000176-2","Sowola","Jewel","B"
"UGP202000177-8","Sowola","Resisto","B"
"UGP202000175-10","Sowola","MSK1094","B"
"UGP202000174-5","Sowola","LUW1257","B"
"UGP202000176-14","Sowola","Jewel","B"
"UGP202000174-3","Sowola","LUW1257","B"
"UGP202000175-15","Sowola","MSK1094","B"
"UGP202000176-4","Sowola","Jewel","B"
"UGP202000174-16","Sowola","LUW1257","B"
"UGP202000176-8","Sowola","Jewel","B"
"UGP202000174-6","Sowola","LUW1257","B"
"UGP202000176-5","Sowola","Jewel","B"
"UGP202000173-1","Sowola","ARA209","B"
"UGP202000174-9","Sowola","LUW1257","B"
"UGP202000268-5","APA356","Resisto","B"
"UGP202000268-12","APA356","Resisto","B"
"UGP202000268-3","APA356","Resisto","B"
"UGP202000268-6","APA356","Resisto","B"
"UGP202000268-11","APA356","Resisto","B"
"UGP202000268-17","APA356","Resisto","B"
"UGP202000268-20","APA356","Resisto","B"
"UGP202000268-19","APA356","Resisto","B"
"UGP202000268-10","APA356","Resisto","B"
"UGP202000268-16","APA356","Resisto","B"
"UGP202000268-1","APA356","Resisto","B"
"UGP202000268-9","APA356","Resisto","B"
"UGP202000268-4","APA356","Resisto","B"
"UGP202000268-8","APA356","Resisto","B"
"UGP202000268-7","APA356","Resisto","B"
"UGP202000179-3","MKN1210","ARA209","B"
"UGP202000181-16","MKN1210","MSK1094","B"
"UGP202000246-1","MKN1210","MLE179","B"
"UGP202000246-8","MKN1210","MLE179","B"
"UGP202000180-10","MKN1210","LUW1257","B"
"UGP202000179-10","MKN1210","ARA209","B"
"UGP202000181-13","MKN1210","MSK1094","B"
"UGP202000179-16","MKN1210","ARA209","B"
"UGP202000181-1","MKN1210","MSK1094","B"
"UGP202000179-8","MKN1210","ARA209","B"
"UGP202000181-17","MKN1210","MSK1094","B"
"UGP202000246-7","MKN1210","MLE179","B"
"UGP202000179-9","MKN1210","ARA209","B"
"UGP202000181-3","MKN1210","MSK1094","B"
"UGP202000180-3","MKN1210","LUW1257","B"
"UGP202000180-13","MKN1210","LUW1257","B"
"UGP202000179-13","MKN1210","ARA209","B"
"UGP202000179-2","MKN1210","ARA209","B"
"UGP202000181-20","MKN1210","MSK1094","B"
"UGP202000180-20","MKN1210","LUW1257","B"
"UGP202000179-21","MKN1210","ARA209","B"
"UGP202000180-4","MKN1210","LUW1257","B"
"UGP202000179-15","MKN1210","ARA209","B"
"UGP202000180-15","MKN1210","LUW1257","B"
"UGP202000179-4","MKN1210","ARA209","B"
"UGP202000183-14","NASPOT_5","ARA209","B"
"UGP202000183-19","NASPOT_5","ARA209","B"
"UGP202000183-1","NASPOT_5","ARA209","B"
"UGP202000184-12","NASPOT_5","LUW1257","B"
"UGP202000186-3","NASPOT_5","SPK004_CIP","B"
"UGP202000187-19","NASPOT_5","MSK1094","B"
"UGP202000188-12","NASPOT_5","Jewel","B"
"UGP202000183-8","NASPOT_5","ARA209","B"
"UGP202000183-15","NASPOT_5","ARA209","B"
"UGP202000183-13","NASPOT_5","ARA209","B"
"UGP202000188-4","NASPOT_5","Jewel","B"
"UGP202000185-12","NASPOT_5","MLE179","B"
"UGP202000188-2","NASPOT_5","Jewel","B"
"UGP202000184-19","NASPOT_5","LUW1257","B"
"UGP202000188-7","NASPOT_5","Jewel","B"
"UGP202000183-9","NASPOT_5","ARA209","B"
"UGP202000188-5","NASPOT_5","Jewel","B"
"UGP202000188-1","NASPOT_5","Jewel","B"
"UGP202000187-4","NASPOT_5","MSK1094","B"
"UGP202000183-6","NASPOT_5","ARA209","B"
"UGP202000186-6","NASPOT_5","SPK004_CIP","B"
"UGP202000186-2","NASPOT_5","SPK004_CIP","B"
"UGP202000183-5","NASPOT_5","ARA209","B"
"UGP202000184-3","NASPOT_5","LUW1257","B"
"UGP202000183-16","NASPOT_5","ARA209","B"
"UGP202000190-19","SPK004_CIP","MLE199","B"
"UGP202000189-10","SPK004_CIP","SRT43","B"
"UGP202000193-18","SPK004_CIP","MBR536","B"
"UGP202000189-6","SPK004_CIP","SRT43","B"
"UGP202000195-16","SPK004_CIP","APA356","B"
"UGP202000194-14","SPK004_CIP","Sowola","B"
"UGP202000192-20","SPK004_CIP","KRE691","B"
"UGP202000189-4","SPK004_CIP","SRT43","B"
"UGP202000195-17","SPK004_CIP","APA356","B"
"UGP202000192-14","SPK004_CIP","KRE691","B"
"UGP202000189-11","SPK004_CIP","SRT43","B"
"UGP202000198-3","SPK004_CIP","Resisto","B"
"UGP202000189-13","SPK004_CIP","SRT43","B"
"UGP202000199-16","SPK004_CIP","CIP199062.1","B"
"UGP202000199-6","SPK004_CIP","CIP199062.1","B"
"UGP202000198-7","SPK004_CIP","Resisto","B"
"UGP202000193-20","SPK004_CIP","MBR536","B"
"UGP202000194-17","SPK004_CIP","Sowola","B"
"UGP202000198-17","SPK004_CIP","Resisto","B"
"UGP202000194-4","SPK004_CIP","Sowola","B"
"UGP202000199-4","SPK004_CIP","CIP199062.1","B"
"UGP202000194-1","SPK004_CIP","Sowola","B"
"UGP202000194-19","SPK004_CIP","Sowola","B"
"UGP202000197-11","SPK004_CIP","MSK1094","B"
"UGP202000198-2","SPK004_CIP","Resisto","B"
"UGP202000272-3","RAK848","CIP199062.1","B"
"UGP202000272-20","RAK848","CIP199062.1","B"
"UGP202000269-6","RAK848","ARA209","B"
"UGP202000272-13","RAK848","CIP199062.1","B"
"UGP202000272-21","RAK848","CIP199062.1","B"
"UGP202000269-19","RAK848","ARA209","B"
"UGP202000272-18","RAK848","CIP199062.1","B"
"UGP202000272-4","RAK848","CIP199062.1","B"
"UGP202000272-7","RAK848","CIP199062.1","B"
"UGP202000272-12","RAK848","CIP199062.1","B"
"UGP202000272-19","RAK848","CIP199062.1","B"
"UGP202000269-9","RAK848","ARA209","B"
"UGP202000269-7","RAK848","ARA209","B"
"UGP202000269-11","RAK848","ARA209","B"
"UGP202000270-3","RAK848","KML942","B"
"UGP202000271-9","RAK848","MLE179","B"
"UGP202000269-16","RAK848","ARA209","B"
"UGP202000271-6","RAK848","MLE179","B"
"UGP202000272-14","RAK848","CIP199062.1","B"
"UGP202000272-6","RAK848","CIP199062.1","B"
"UGP202000271-11","RAK848","MLE179","B"
"UGP202000269-1","RAK848","ARA209","B"
"UGP202000271-18","RAK848","MLE179","B"
"UGP202000269-5","RAK848","ARA209","B"
"UGP202000272-8","RAK848","CIP199062.1","B"
"UGP202000271-17","RAK848","MLE179","B"
"UGP202000269-10","RAK848","ARA209","B"
"UGP202000269-14","RAK848","ARA209","B"
"UGP202000269-17","RAK848","ARA209","B"
"UGP202000271-16","RAK848","MLE179","B"
"UGP202000269-13","RAK848","ARA209","B"
"UGP202000272-5","RAK848","CIP199062.1","B"
"UGP202000269-12","RAK848","ARA209","B"
"UGP202000271-15","RAK848","MLE179","B"
"UGP202000272-11","RAK848","CIP199062.1","B"
"UGP202000271-10","RAK848","MLE179","B"
"UGP202000271-8","RAK848","MLE179","B"
"UGP202000271-12","RAK848","MLE179","B"
"UGP202000272-1","RAK848","CIP199062.1","B"
"UGP202000271-2","RAK848","MLE179","B"
"UGP202000269-3","RAK848","ARA209","B"
"UGP202000269-15","RAK848","ARA209","B"
"UGP202000200-12","MSK1094","ARA209","B"
"UGP202000200-13","MSK1094","ARA209","B"
"UGP202000201-2","MSK1094","SRT43","B"
"UGP202000208-5","MSK1094","NASPOT_5","B"
"UGP202000201-17","MSK1094","SRT43","B"
"UGP202000247-1","MSK1094","MBR536","B"
"UGP202000209-18","MSK1094","SPK004_CIP","B"
"UGP202000205-4","MSK1094","MLE179","B"
"UGP202000207-7","MSK1094","MKN1210","B"
"UGP202000200-14","MSK1094","ARA209","B"
"UGP202000200-1","MSK1094","ARA209","B"
"UGP202000209-8","MSK1094","SPK004_CIP","B"
"UGP202000203-7","MSK1094","KML942","B"
"UGP202000204-16","MSK1094","LUW1257","B"
"UGP202000201-4","MSK1094","SRT43","B"
"UGP202000273-1","MSK1094","Resisto","B"
"UGP202000207-8","MSK1094","MKN1210","B"
"UGP202000204-3","MSK1094","LUW1257","B"
"UGP202000200-15","MSK1094","ARA209","B"
"UGP202000203-1","MSK1094","KML942","B"
"UGP202000200-5","MSK1094","ARA209","B"
"UGP202000200-11","MSK1094","ARA209","B"
"UGP202000205-8","MSK1094","MLE179","B"
"UGP202000204-22","MSK1094","LUW1257","B"
"UGP202000200-9","MSK1094","ARA209","B"
"UGP202000211-3","NASPOT_11","MLE179","B"
"UGP202000214-17","NASPOT_11","Jewel","B"
"UGP202000274-12","NASPOT_11","LUW1257","B"
"UGP202000210-4","NASPOT_11","ARA209","B"
"UGP202000210-14","NASPOT_11","ARA209","B"
"UGP202000274-2","NASPOT_11","LUW1257","B"
"UGP202000215-3","NASPOT_11","Resisto","B"
"UGP202000213-5","NASPOT_11","MSK1094","B"
"UGP202000248-2","NASPOT_11","RAK848","B"
"UGP202000211-1","NASPOT_11","MLE179","B"
"UGP202000214-10","NASPOT_11","Jewel","B"
"UGP202000210-6","NASPOT_11","ARA209","B"
"UGP202000214-3","NASPOT_11","Jewel","B"
"UGP202000210-21","NASPOT_11","ARA209","B"
"UGP202000212-7","NASPOT_11","SPK004_CIP","B"
"UGP202000274-4","NASPOT_11","LUW1257","B"
"UGP202000274-3","NASPOT_11","LUW1257","B"
"UGP202000210-11","NASPOT_11","ARA209","B"
"UGP202000274-1","NASPOT_11","LUW1257","B"
"UGP202000216-1","NASPOT_11","CIP199062.1","B"
"UGP202000211-16","NASPOT_11","MLE179","B"
"UGP202000216-8","NASPOT_11","CIP199062.1","B"
"UGP202000210-9","NASPOT_11","ARA209","B"
"UGP202000210-12","NASPOT_11","ARA209","B"
"UGP202000216-11","NASPOT_11","CIP199062.1","B"
"UGP202000139-10","SRT43","LUW1257","B"
"UGP202000140-9","SRT43","MLE179","B"
"UGP202000141-3","SRT43","Jewel","B"
"UGP202000139-17","SRT43","LUW1257","B"
"UGP202000141-1","SRT43","Jewel","B"
"UGP202000139-14","SRT43","LUW1257","B"
"UGP202000141-9","SRT43","Jewel","B"
"UGP202000141-11","SRT43","Jewel","B"
"UGP202000139-18","SRT43","LUW1257","B"
"UGP202000138-1","SRT43","ARA209","B"
"UGP202000140-5","SRT43","MLE179","B"
"UGP202000138-7","SRT43","ARA209","B"
"UGP202000141-5","SRT43","Jewel","B"
"UGP202000139-12","SRT43","LUW1257","B"
"UGP202000138-6","SRT43","ARA209","B"
